WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000554,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Pangin Eac,Lokpeng,Normal/Others,NA - Construction of public irrigation facilities,Deputy Commisioner Siang_IDA,2024-02-26,Action Pending,200000,Unsanctioned
MPLADS-002874,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Sago,Lipu Namchi,Normal/Others,NA - Construction of footpaths and pedestrian ways,Deputy Commisioner Leparada_IDA,2024-02-05,Action Pending,200000,Unsanctioned
MPLADS-002875,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Basar Adc,Pagi,Normal/Others,NA - Construction of footpaths and pedestrian ways,Deputy Commisioner Leparada_IDA,2024-02-05,Action Pending,200000,Unsanctioned
MPLADS-003326,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Kaying Eac,Kerang I,Normal/Others,NA - Construction of footpaths and pedestrian ways,Deputy Commisioner Siang_IDA,2024-02-02,Action Pending,250000,Unsanctioned
MPLADS-003327,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Jomlo Mobuk Circle,Sipeng,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commisioner Siang_IDA,2024-02-02,Action Pending,300000,Unsanctioned
MPLADS-004526,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Ziro Hq,Hong - I,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Lower Subansir_IDA,2024-01-24,Action Pending,2000000,Unsanctioned
MPLADS-004536,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,Itanagar,12,,,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER PAPUM PARE_IDA,2024-01-24,Action Pending,2000000,Unsanctioned
MPLADS-006114,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Daring Circle,Old Daring,Normal/Others,NA - Construction of public toilets and bathrooms,Deputy Commisioner Leparada_IDA,2024-01-19,Action Pending,200000,Unsanctioned
MPLADS-006536,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Kamba Adc,Dego Kamki,Normal/Others,NA - Development of playground,DEPUTY COMMISSIONER WEST SIANG_IDA,2024-01-18,Action Pending,300000,Unsanctioned
MPLADS-006703,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Yingkiong Circle,Halleng,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DC Upper Siang_IDA,2024-01-17,Action Pending,300000,Unsanctioned
MPLADS-006704,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Oyan Circle,Mangnang,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commisioner East Siang_IDA,2024-01-17,Action Pending,250000,Unsanctioned
MPLADS-006705,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Roing Hq,Malek,Normal/Others,NA - Construction of flood control embankments,Deputy Commisioner Lower Dibang Valley_IDA,2024-01-17,Action Pending,300000,Unsanctioned
MPLADS-006707,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Bilat Circle,Miglung,Normal/Others,NA - Construction of flood control embankments,Deputy Commisioner East Siang_IDA,2024-01-17,Action Pending,200000,Unsanctioned
MPLADS-007193,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Itanagar Eac,Birup,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER PAPUM PARE_IDA,2024-01-15,Action Pending,500000,Unsanctioned
MPLADS-008728,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Tirbin Eac,Moba Doke,Normal/Others,NA - Development of playground,Deputy Commisioner Leparada_IDA,2024-01-09,Action Pending,300000,Unsanctioned
MPLADS-008732,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Daporijo Hq,Rapen Nima,Normal/Others,NA - Development of playground,Deputy Commisioner Upper Subansiri_IDA,2024-01-09,Action Pending,200000,Unsanctioned
MPLADS-008876,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Pasighat Hq,Sibut,Normal/Others,NA - Construction of rooms and halls in school and colleges,Deputy Commisioner East Siang_IDA,2024-01-08,Action Pending,300000,Unsanctioned
MPLADS-008877,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Aalo Hq,Hissam,Normal/Others,NA - Construction of footpaths and pedestrian ways,DEPUTY COMMISSIONER WEST SIANG_IDA,2024-01-08,Action Pending,300000,Unsanctioned
MPLADS-008878,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Nafra Eac,Nafra East,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,Deputy Commisioner West Kameng_IDA,2024-01-08,Action Pending,600000,Unsanctioned
MPLADS-008879,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Nafra Eac,Nafra East,Normal/Others,NA - Construction of rooms and halls in school and colleges,Deputy Commisioner West Kameng_IDA,2024-01-08,Action Pending,400000,Unsanctioned
MPLADS-008967,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Soha Circle,Soha,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER TIRAP_IDA,2024-01-08,Action Pending,1000000,Unsanctioned
MPLADS-009448,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Oyan Circle,Sika Tode,Normal/Others,NA - Construction of buildings for community cultural activities,Deputy Commisioner East Siang_IDA,2024-01-06,Action Pending,1000000,Unsanctioned
MPLADS-009449,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Roing Hq,Meka-I,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commisioner Lower Dibang Valley_IDA,2024-01-06,Action Pending,300000,Unsanctioned
MPLADS-009755,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Daring Circle,Dali,Normal/Others,NA - Construction of footpaths and pedestrian ways,Deputy Commisioner Leparada_IDA,2024-01-05,Action Pending,500000,Unsanctioned
MPLADS-010062,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,,,Leporiang Circle,Leporiang H.Q.,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER PAPUM PARE_IDA,2024-01-04,Action Pending,500000,Unsanctioned
MPLADS-010346,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Dadam Circle,New Kothin,Normal/Others,NA - Construction of public irrigation facilities,DEPUTY COMMISSIONER TIRAP_IDA,2024-01-03,Action Pending,300000,Unsanctioned
MPLADS-010347,Shri Tapir Gao ,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,,,Khonsa Hq,Khonsa,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER TIRAP_IDA,2024-01-03,Action Pending,300000,Unsanctioned
