WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-001228,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,Dentam,Begha,Normal/Others,NA - Construction of buildings for crèches and anganwadies,DISTRICT COLLECTOR GYALSHING_IDA,2024-02-19,Action Pending,500000,Unsanctioned
MPLADS-005520,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,Gangtok,Luing,Repair and Renovation,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR EAST DISTRICT_IDA,2024-01-22,Action Pending,2000000,Unsanctioned
MPLADS-005892,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,Soreng,Dodak,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR SORENG_IDA,2024-01-20,Action Pending,250000,Unsanctioned
MPLADS-006493,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,Soreng,Soreng,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR SORENG_IDA,2024-01-18,Action Pending,500000,Unsanctioned
MPLADS-006494,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,Chungthang,Lachung,Repair and Renovation,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR MANGAN_IDA,2024-01-18,Action Pending,2000000,Unsanctioned
MPLADS-012185,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachung,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,400000,Unsanctioned
MPLADS-012221,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachung,Normal/Others,NA - Construction of Footpaths/Pedestrian ways,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,300000,Unsanctioned
MPLADS-012222,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachung,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,400000,Unsanctioned
MPLADS-012261,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Mangan,Zimchung,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,400000,Unsanctioned
MPLADS-012274,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachen,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,200000,Unsanctioned
MPLADS-012275,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachung,Normal/Others,NA - Construction of Footpaths/Pedestrian ways,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,300000,Unsanctioned
MPLADS-012276,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachung,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,300000,Unsanctioned
MPLADS-012277,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachung,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,400000,Unsanctioned
MPLADS-012363,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,Chungthang,Lachung,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR MANGAN_IDA,2023-12-27,Action Pending,200000,Unsanctioned
MPLADS-021576,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,CHUNGTHANG,Lachung,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR MANGAN_IDA,2023-12-01,Action Pending,400000,Unsanctioned
MPLADS-022653,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,Gangtok (M Corp.),Lower Sichey Ward,,,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR EAST DISTRICT_IDA,2023-11-27,Action Pending,3000000,Unsanctioned
MPLADS-023940,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,CHUNGTHANG,Lachen,Normal/Others,NA - Construction of Footpaths/Pedestrian ways,DISTRICT COLLECTOR MANGAN_IDA,2023-11-22,Action Pending,500000,Unsanctioned
MPLADS-026029,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,RAVANGLA,Jarrong,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR NAMCHI_IDA,2023-11-10,Action Pending,1000000,Unsanctioned
MPLADS-026030,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,CHUNGTHANG,Lachung,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR MANGAN_IDA,2023-11-10,Action Pending,2000000,Unsanctioned
MPLADS-026988,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Radhukhanu,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,6000000,Unsanctioned
MPLADS-026989,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Hee,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,500000,Unsanctioned
MPLADS-026990,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,KALUK,Rinchenpong,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR SORENG_IDA,2023-11-07,Action Pending,600000,Unsanctioned
MPLADS-026991,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,NANDOK,Assam,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR PAKYONG_IDA,2023-11-07,Action Pending,700000,Unsanctioned
MPLADS-026992,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Maneybong,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,500000,Unsanctioned
MPLADS-026993,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Radhukhanu,Normal/Others,NA - Construction of rooms and halls in school and colleges,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,700000,Unsanctioned
MPLADS-026994,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Lungzik,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,400000,Unsanctioned
MPLADS-026995,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Sardong,Normal/Others,NA - Construction of footpaths and pedestrian ways,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,600000,Unsanctioned
MPLADS-026996,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Sardong,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,400000,Unsanctioned
MPLADS-026997,Indra Hang Subba,Lok Sabha,Sikkim,SIKKIM,,,DENTAM,Hee,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR GYALSHING_IDA,2023-11-07,Action Pending,500000,Unsanctioned
MPLADS-028966,SHRI Hishey Lachungpa,Rajya Sabha,Sikkim,Sitting Rajya Sabha,,,RANKA,Ranka,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR EAST DISTRICT_IDA,2023-11-01,Action Pending,300000,Unsanctioned
